fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221109 021307	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	36	1	1	1	0.1	50	0.5	FALSE	936659	0.174523501750373	0.743058874248527	0.323089021149644	9.29573585004255	0.0173954989450065	14725	15910000	1
20221109 021908	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	176	1	1	1	0.1	50	0.5	FALSE	936659	0.156209273221175	0.508310653307126	0.725700537142257	5.99338962434558	0.0122041117528733	16897	15486000	2
20221109 023020	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	592	1	1	1	0.1	50	0.5	FALSE	936659	0.0757983312212309	0.337689423537813	0.816199724109902	6.82589220166847	0.0136896367107357	13006	18308000	3
20221109 023427	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	29	1	1	1	0.1	50	0.5	FALSE	936659	0.225156004770906	0.564498393997201	0.466571633436251	7.98370639057248	0.0194449790621678	14044	15832000	4
20221109 023730	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	58	1	1	1	0.1	50	0.5	FALSE	936659	0.258400962233063	0.767570428125327	0.836370445109787	7.86411980466801	0.0149106580366823	14143	14994000	5
20221109 025225	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	895	1	1	1	0.1	50	0.5	FALSE	936659	0.142248485084274	0.547150681848871	0.428193554092286	4.25254192120337	0.0160098632760704	16119	16482000	6
20221109 030947	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	905	1	1	1	0.1	50	0.5	FALSE	936659	0.0420153003810265	0.45192075810337	0.0905816143073025	11.3565289527032	0.00194501706120412	14362	16956000	7
20221109 031404	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	86	1	1	1	0.1	50	0.5	FALSE	936659	0.0893238978693262	0.679567685784423	0.586036608866562	9.16990863121464	0.0146097182762916	14851	15738000	8
20221109 032305	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1670	1	1	1	0.1	50	0.5	FALSE	936659	0.204141238299053	0.857684002132737	0.921363437346736	2.5000112347916	0.0178664909416645	16107	14426000	9
20221109 032603	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	662	1	1	1	0.1	50	0.5	FALSE	936659	0.296401417820452	0.638812038092874	0.126528611371032	2.35406646812044	0.0155092649794674	18636	8888000	10
