fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana		min_data_in_leaf	num_leaves		min_data_in_leaf	num_leaves
20221112 082155	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	76	1	1	1	0.1	50	0.5	FALSE	936659	0.224911288	0.588706515	0.786762343	5.387292123	0.021133469	13781	18758000	26						
20221113 002059	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	301	1	1	1	0.1	50	0.5	FALSE	936659	0.096012169	0.879042038	0.80975114	6.05690431	0.018565825	14273	18734000	78						
20221112 043852	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1051	1	1	1	0.1	50	0.5	FALSE	936659	0.007741394	0.774138619	0.988341477	9.207332617	0.018645341	12681	18718000	18						
20221112 085345	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2153	1	1	1	0.1	50	0.5	FALSE	936659	0.013430496	0.614047274	0.997615329	5.284339264	0.019559406	14299	18682000	28						
20221112 064304	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8508	1	1	1	0.1	50	0.5	FALSE	936659	0.005028069	0.898878279	0.161231775	6.780433452	0.018703438	13915	18650000	22						
20221113 081622	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8766	1	1	1	0.1	50	0.5	FALSE	936659	0.005628008	0.603733194	0.985571211	5.751927353	0.017005854	14288	18624000	93						
20221112 083428	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	414	1	1	1	0.1	50	0.5	FALSE	936659	0.020245523	0.69370733	0.912847218	9.619300615	0.013966887	13625	18590000	27						
20221112 191947	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1536	1	1	1	0.1	50	0.5	FALSE	936659	0.005254481	0.698985037	0.849285385	9.108780119	0.018425603	12950	18580000	57						
20221113 120850	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	507	1	1	1	0.1	50	0.5	FALSE	936659	0.267961799	0.810337612	0.422658245	3.9380954	0.022451112	13151	18578000	113						
20221112 122100	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1169	1	1	1	0.1	50	0.5	FALSE	936659	0.013607491	0.852309302	0.408693899	8.663780652	0.014950137	13010	18540000	40						
20221112 210932	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1204	1	1	1	0.1	50	0.5	FALSE	936659	0.049903837	0.554017366	0.360712066	5.554371161	0.019417751	13778	18524000	63						
20221112 104754	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1713	1	1	1	0.1	50	0.5	FALSE	936659	0.020900357	0.488491571	0.992378619	5.403493183	0.018187724	14586	18508000	36						
20221112 052822	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1993	1	1	1	0.1	50	0.5	FALSE	936659	0.006065461	0.6728694	0.927294949	8.579457986	0.015627911	13201	18478000	20						
20221113 091846	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4604	1	1	1	0.1	50	0.5	FALSE	936659	0.007259104	0.899687062	0.135849461	7.110960439	0.018236255	14221	18438000	97						
20221112 120322	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	406	1	1	1	0.1	50	0.5	FALSE	936659	0.026128924	0.371934159	0.974909927	9.051978921	0.015338992	13641	18398000	39						
20221113 062309	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5463	1	1	1	0.1	50	0.5	FALSE	936659	0.006297716	0.595575721	0.489861852	5.944460521	0.018169511	14340	18360000	91						
20221112 035003	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1373	1	1	1	0.1	50	0.5	FALSE	936659	0.040970985	0.657750103	0.287260762	5.416877792	0.021137054	13422	18356000	16						
20221113 093611	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	501	1	1	1	0.1	50	0.5	FALSE	936659	0.053213893	0.714865187	0.730736286	6.08537117	0.01922542	13679	18242000	100						
20221112 133729	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4009	1	1	1	0.1	50	0.5	FALSE	936659	0.005064322	0.827114633	0.375900235	7.900216247	0.016324603	13862	18116000	44						
20221113 013506	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3139	1	1	1	0.1	50	0.5	FALSE	936659	0.007208518	0.601908221	0.320710032	9.258946495	0.008168368	13236	18088000	83						
