Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.093834640715401	0.0030110554697764	0.00313337953059564
ctrx_quarter_normalizado_lag1	0.0429706335476239	0.00162832123082583	0.00247054924527733
ctrx_quarter	0.0418705635612408	0.00324852015685689	0.00341960169925582
mpasivos_margen	0.0278018322394557	0.00388966307168299	0.00456449037389654
mpayroll_sobre_edad	0.0157745218836074	0.00217625625044491	0.000964116778644813
cpayroll_trx	0.0151002558350344	0.00159678151938845	0.000662830285318309
mtarjeta_visa_consumo	0.0137982189977456	0.00155234231320047	0.00182278328462535
mprestamos_personales	0.0110295416337976	0.0075507800707097	0.00222952005061613
ccomisiones_mantenimiento_avg6	0.0103890877003966	0.00619090961488379	0.00349492332258745
mcuentas_saldo	0.00904537361170556	0.00758604715766355	0.00495616281522099
mcaja_ahorro_lag1	0.00797565546461989	0.00237834579715153	0.00426320388057003
ccomisiones_mantenimiento_tend6	0.00755225122798735	0.00508089780047511	0.00147630381729987
mcomisiones_mantenimiento_tend6	0.00707197364624109	0.00439702369816976	0.00293754330993342
mcaja_ahorro	0.00645646483803385	0.00326889417013877	0.00450423307523124
vm_status01	0.00582903419484072	0.000466052565324507	0.000150643246663252
mactivos_margen	0.00559745887731379	0.00406804337401798	0.00465487632189449
mrentabilidad_annual_lag1	0.00559383908474296	0.00272491959552683	0.00497122713988732
mcomisiones_otras_avg6	0.00556117881095601	0.00303374228036516	0.00397698171190986
mrentabilidad_annual_avg6	0.00552144485375305	0.00480653467357022	0.00607092284052906
numero_de_cliente	0.00549367750964863	0.0064653242975614	0.0087825012804676
mcomisiones_avg6	0.00538348356072505	0.00354376524161273	0.00463981199722816
mcuenta_corriente_avg6	0.00510547311911834	0.00570947993930611	0.00679401042451267
mpayroll	0.00502094709578444	0.00180591430589547	0.000873730830646862
cliente_edad	0.00472889358260866	0.00476993648601806	0.00744177638516465
mprestamos_personales_lag1	0.0046113989692002	0.00269422280761704	0.000813473531981561
mcuentas_saldo_avg6	0.00453801733667926	0.00408058705379828	0.00551354282787503
cliente_edad_avg6	0.00451734145480475	0.00441798566096336	0.0069898466451749
chomebanking_transacciones_avg6	0.00447478042568065	0.00327691309625974	0.00626675906119129
cliente_edad_lag1	0.00437050286845228	0.00447629136655092	0.00643246663252086
active_quarter	0.00436762683725677	0.000249781307758143	0.000271157843993854
mrentabilidad_annual_tend6	0.00433110248569851	0.00529559046302126	0.00677894609984634
Visa_Fvencimiento_avg6	0.00428030736234313	0.00470282930179042	0.00608598716519539
mcuentas_saldo_tend6	0.00409769811707309	0.00346787113724043	0.00450423307523124
mactivos_margen_lag1	0.00404151389888589	0.00236027857078852	0.0035250519719201
mcuentas_saldo_lag1	0.00398128988356044	0.00293307415799391	0.00423307523123738
mprestamos_personales_avg6	0.00392219945255733	0.00287545243456208	0.00114488867464072
cproductos_tend6	0.00373162883741707	0.00342228514901983	0.00146123949263355
mrentabilidad_annual_delta1	0.00372423073699046	0.00508261984342253	0.00634208068452291
mcuenta_corriente_tend6	0.00366717351438749	0.00401923474930971	0.0051369347112169
Master_Fvencimiento	0.00366202744653163	0.00352808640988137	0.00593534391853213
ctransferencias_recibidas_avg6	0.00364206960968264	0.00370705987073102	0.0054984785032087
Master_Fvencimiento_lag1	0.00362136186981449	0.00384891411016999	0.00576963634720256
Master_Fvencimiento_avg6	0.00359524817161796	0.00455042736564773	0.00572444337320358
ctrx_quarter_delta1	0.00359423752428156	0.0019978548449698	0.00349492332258745
vm_Fvencimiento_avg6	0.00359345009611691	0.00395580498759596	0.00503148443855262
ccomisiones_otras_avg6	0.00358930764153997	0.00346787754832097	0.00551354282787503
Master_fechaalta_avg6	0.00358192950174393	0.00412394492440088	0.00510680606188425
ctrx_quarter_normalizado_tend6	0.00355738434995073	0.00260923926023681	0.00498629146455364
ctrx_quarter_tend6	0.00349657822827255	0.00367359376315382	0.00539302823054443
mrentabilidad_annual	0.00347569280334493	0.00428557400821905	0.00454942604923021
thomebanking_avg6	0.00343031875024859	0.00218186354176724	0.00408243198457413
cliente_antiguedad	0.00324503931476444	0.00365872299469958	0.00518212768521587
mrentabilidad_tend6	0.00323045617192728	0.00363700358945234	0.00516706336054955
mtransferencias_recibidas_avg6	0.00319007272423691	0.00319413896751259	0.00515199903588322
cliente_antiguedad_lag1	0.00318889830447161	0.00433553075060172	0.00527251363321382
Visa_fechaalta_avg6	0.00311809987181341	0.00191113189129899	0.00391672441324455
mactivos_margen_tend6	0.00308370379308753	0.00478203566421386	0.00498629146455364
vm_mpagominimo	0.00303931680556932	0.00056584811292064	0.00120514597330602
Visa_fechaalta	0.00303100610652624	0.00231447113316074	0.00429333252990269
mactivos_margen_avg6	0.00301132581312601	0.00557093702296903	0.00438371847790064
vm_Fvencimiento_lag1	0.00301114136671684	0.00383721549094412	0.00485071254255672
mcuenta_corriente_lag1	0.00300380096295678	0.00351310611880115	0.00400711036124251
Master_status_avg6	0.0029975048414483	0.000219186963572903	0.000135578921996927
mcuentas_saldo_delta1	0.00295170973615688	0.00363173848955414	0.00379620981591395
mrentabilidad	0.00294557379584826	0.00342879199508124	0.00390166008857823
Visa_fechaalta_lag1	0.00292675214824086	0.00210537427541761	0.00387153143924558
vm_Fvencimiento	0.00286254257108322	0.00261920314791834	0.00453436172456389
Master_fechaalta	0.00285365892507668	0.00233351057317567	0.00454942604923021
chomebanking_transacciones_tend6	0.00284143768145884	0.00402997197358207	0.00498629146455364
mcaja_ahorro_avg6	0.00283822344254282	0.00480843996656991	0.00435358982856799
foto_mes	0.00283400987214667	0.00281846901433708	0.00224458437528246
mrentabilidad_avg6	0.00282131460750656	0.00363742164532959	0.00406736765990781
Visa_Fvencimiento_lag1	0.0028063127482173	0.00273004552155152	0.00463981199722816
ctarjeta_visa_transacciones	0.0028052749935831	0.00278043968661726	0.00218432707661716
azar	0.00275427429175135	0.00447455890559761	0.00546834985387605
Visa_mpagospesos_tend6	0.00274081094285401	0.00377403843265521	0.00423307523123738
Visa_Fvencimiento	0.00272426959406682	0.00264420609491843	0.00460968334789551
Visa_mlimitecompra_tend6	0.00267093129536256	0.00239551012967101	0.00408243198457413
mcomisiones_otras_tend6	0.00265754786332022	0.00261844143141099	0.00433852550390166
cliente_antiguedad_avg6	0.0026381875213747	0.00288910963889468	0.00427826820523636
ccomisiones_otras_tend6	0.00262709220343288	0.0033995239431839	0.00442891145189961
mcuenta_corriente	0.00262338568675394	0.00361649320714468	0.00405230333524148
Master_fechaalta_lag1	0.00260666662852246	0.00223131474373605	0.00402217468590883
mpasivos_margen_tend6	0.00258767023574555	0.00451628622471473	0.00444397577656594
vmr_mpagominimo_avg6	0.00258668462840665	0.00240136972372566	0.00281702871260281
cmobile_app_trx_avg6	0.00257858987529603	0.00293350984434267	0.00417281793257208
vm_fechaalta_avg6	0.00253510203688363	0.00205720662519974	0.00366063089391703
mcaja_ahorro_tend6	0.00251802455524656	0.00280335422412957	0.00426320388057003
mcomisiones_mantenimiento	0.0024990131985584	0.00539026475933893	0.00280196438793649
chomebanking_transacciones	0.00248307730879762	0.00315919844497404	0.0037660811665813
mtransferencias_emitidas_avg6	0.00246247355893888	0.00252925301657781	0.00426320388057003
mactivos_margen_delta1	0.00245459093234061	0.00327015448172273	0.00384140278991293
mprestamos_personales_tend6	0.00242457315137442	0.00411457766790264	0.00147630381729987
mpasivos_margen_lag1	0.00240431736718959	0.00243657911095459	0.00409749630924046
vm_fechaalta	0.00238610709731122	0.00263320748554965	0.00400711036124251
mrentabilidad_delta1	0.00238275262340498	0.00329922325586643	0.00385646711457925
Visa_cconsumos_avg6	0.00237966390890573	0.00161025787782398	0.0034045373745895
mcaja_ahorro_dolares_avg6	0.00235817913508564	0.00311975240201778	0.00369075954324968
mcaja_ahorro_dolares	0.00234673437428256	0.00480678697630253	0.0032840227772589
mcomisiones_mantenimiento_avg6	0.00234663601949592	0.00362437950403685	0.00322376547859359
tcallcenter_tend6	0.00230676367188983	0.0015743263090844	0.000994245427977464
mpasivos_margen_avg6	0.00225776184367581	0.00278722354478391	0.00406736765990781
cproductos_avg6	0.0022370504333979	0.00307542138281401	0.0035250519719201
mcomisiones_tend6	0.00220024962182349	0.00174954634940286	0.0033442800759242
Visa_mpagominimo	0.0021933030147011	0.00171729140179209	0.00239522762194571
cprestamos_personales	0.00217865966527303	0.00131919455391829	0.000482058389322407
ctrx_quarter_avg6	0.00216991434096375	0.00253449781472095	0.003705823867916
Master_mlimitecompra_tend6	0.00216732711395885	0.00238080978910795	0.0035853092705854
ctransferencias_recibidas_tend6	0.00215643051895403	0.0024258681988253	0.00335934440059052
Visa_mconsumospesos_avg6	0.00208006697736874	0.00242787553485702	0.00337440872525685
Visa_mpagado_avg6	0.00207055535508949	0.00162918084987567	0.00298273628393239
mrentabilidad_lag1	0.00206707463125731	0.00244314552663941	0.00335934440059052
mttarjeta_visa_debitos_automaticos_avg6	0.00205313112381617	0.0015072724169638	0.00281702871260281
cpayroll_trx_avg6	0.0020503004450615	0.00180312935921923	0.000873730830646862
Visa_mfinanciacion_limite_tend6	0.00204895349788767	0.00216599544959561	0.00331415142659155
