fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221030 002308	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	396	1	1	1	0.1	50	0.5	FALSE	668111	0.233215398651466	0.854815989599749	5773	822	0.000614208255638539	15557	15206000	24
20221030 003013	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	478	1	1	1	0.1	50	0.5	FALSE	668111	0.0910818052222789	0.772256545981578	4582	1879	0.00576015843528376	11825	19870000	25
20221030 003616	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	389	1	1	1	0.1	50	0.5	FALSE	668111	0.212723044474152	0.739844568829425	3559	1753	0.000212165271731691	13956	17048000	26
20221030 005105	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	900	1	1	1	0.1	50	0.5	FALSE	668111	0.110426640969672	0.49294946697522	5618	1144	0.000607544227635263	15192	16656000	27
20221030 010028	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	532	1	1	1	0.1	50	0.5	FALSE	668111	0.0865983823506755	0.715970262558572	1636	1956	0.000263787551257124	11621	20358000	28
20221030 011104	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	653	1	1	1	0.1	50	0.5	FALSE	668111	0.0634682438023442	0.899288834418064	2006	1941	0.000560114757472344	13088	18864000	29
20221030 011838	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	416	1	1	1	0.1	50	0.5	FALSE	668111	0.0543628982372706	0.330615854648292	7794	1344	0.0219860409493106	12294	21332000	30
20221030 014706	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2321	1	1	1	0.1	50	0.5	FALSE	668111	0.0155647483762806	0.334090165358781	7984	1387	0.0160491165109575	13007	19746000	31
20221030 015356	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	557	1	1	1	0.1	50	0.5	FALSE	668111	0.1878254814585	0.20047323490046	3785	1383	0.000203939725113277	14858	15964000	32
20221030 021122	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1313	1	1	1	0.1	50	0.5	FALSE	668111	0.0640634421282879	0.362428874749132	5793	1757	0.00187881557727552	13368	18464000	33
20221030 021941	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	550	1	1	1	0.1	50	0.5	FALSE	668111	0.0431022743253619	0.955114286450111	3746	693	0.0101993677205296	13168	18544000	34
20221030 023052	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	738	1	1	1	0.1	50	0.5	FALSE	668111	0.167946069452504	0.40852439577952	7287	928	0.00110476227361025	14185	17550000	35
