fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221029 154634	1222	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	420	1	1	1	0.1	50	0.5	FALSE	668111	0.246286582728353	0.357166827109177	3129	1145	0.000125939635782983	14219	15642000	1
20221029 155527	1222	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	703	1	1	1	0.1	50	0.5	FALSE	668111	0.197595326346418	0.415680273168255	7461	1022	0.00190280397044614	13866	16428000	2
20221029 163406	1222	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2873	1	1	1	0.1	50	0.5	FALSE	668111	0.0134507709956961	0.852401269203983	1058	292	0.000163718963323049	14498	18764000	3
20221029 164058	1222	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	776	1	1	1	0.1	50	0.5	FALSE	668111	0.142930519601432	0.908884774660692	5808	448	0.000864439381737736	14799	16562000	4
20221029 165037	1222	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	674	1	1	1	0.1	50	0.5	FALSE	668111	0.213590264936138	0.572305684862658	3963	728	6.81738589094611e-05	12941	16918000	5
20221029 165916	1222	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1090	1	1	1	0.1	50	0.5	FALSE	668111	0.167172899141879	0.730942487041466	4554	1760	1.52462234224954e-05	14754	14492000	6
20221029 170522	1222	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	736	1	1	1	0.1	50	0.5	FALSE	668111	0.0712013325141743	0.778251751081552	6068	883	0.00740737330762533	14142	17956000	7
20221029 171220	1222	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	833	1	1	1	0.1	50	0.5	FALSE	668111	0.278573572969835	0.224307529558428	4271	1326	5.03191151469999e-06	13569	16622000	8
20221029 172556	1222	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1080	1	1	1	0.1	50	0.5	FALSE	668111	0.0504302002368786	0.518195874313824	5422	1814	0.00532541310456515	15354	16972000	9
20221029 173307	1222	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	433	1	1	1	0.1	50	0.5	FALSE	668111	0.181352909363486	0.481064476747997	1569	252	6.55878030909973e-06	16225	15630000	10
