fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221027 162755	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	161	1	1	1	0.1	50	0.5	FALSE	668111	0.179740445	0.200340138	0.822688764	11.98004831	6.15E-05	14611	18778000	22
20221027 162211	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	203	1	1	1	0.1	50	0.5	FALSE	668111	0.144106333	0.200120943	0.797580879	10.53527293	0.000102969	14136	18448000	18
20221027 171555	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	519	1	1	1	0.1	50	0.5	FALSE	668111	0.057654582	0.223525591	0.454884267	11.26588518	4.54E-05	14415	18290000	82
20221027 171726	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	261	1	1	1	0.1	50	0.5	FALSE	668111	0.102418587	0.29444201	0.491916758	11.83142217	2.94E-05	14221	18278000	84
20221027 171624	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	133	1	1	1	0.1	50	0.5	FALSE	668111	0.104466332	0.227620149	0.79266604	4.423753352	0.03376357	14892	17336000	83
20221027 162310	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	218	1	1	1	0.1	50	0.5	FALSE	668111	0.141877681	0.200137008	0.998512276	11.99542639	3.97E-05	14977	17086000	19
20221027 164848	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	83	1	1	1	0.1	50	0.5	FALSE	668111	0.179348088	0.461908111	0.543543681	11.89950983	7.58E-05	15150	16980000	45
20221027 161620	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	61	1	1	1	0.1	50	0.5	FALSE	668111	0.174497706	0.22976108	0.873081476	5.485166116	0.036613816	16552	16816000	14
20221027 165719	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	192	1	1	1	0.1	50	0.5	FALSE	668111	0.108068671	0.356940892	0.935980637	11.53259856	3.41E-05	15883	16714000	60
20221027 164132	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	478	1	1	1	0.1	50	0.5	FALSE	668111	0.068062367	0.321821656	0.73787896	10.42351401	1.26E-05	15414	16612000	35
20221027 162449	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	215	1	1	1	0.1	50	0.5	FALSE	668111	0.146985358	0.236006915	0.987735634	10.86841238	2.42E-05	16072	16496000	21
20221027 170154	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	89	1	1	1	0.1	50	0.5	FALSE	668111	0.213195845	0.435572152	0.732550521	10.00208032	0.000103	16281	16478000	68
20221027 170341	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	830	1	1	1	0.1	50	0.5	FALSE	668111	0.022266348	0.397371688	0.542113944	4.508850154	0.021639144	16331	16458000	70
20221027 164201	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	267	1	1	1	0.1	50	0.5	FALSE	668111	0.047456473	0.766335715	0.494887148	4.663795047	0.024954191	15350	16420000	36
20221027 165613	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	34	1	1	1	0.1	50	0.5	FALSE	668111	0.226040915	0.254988451	0.900052797	5.56311739	0.044517615	16231	16418000	59
20221027 164731	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	194	1	1	1	0.1	50	0.5	FALSE	668111	0.093715343	0.754274172	0.52224492	10.32853541	1.27E-05	14722	16396000	43
20221027 164802	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	39	1	1	1	0.1	50	0.5	FALSE	668111	0.107935945	0.512811775	0.739403345	7.749741433	0.039809822	16022	16276000	44
20221027 162359	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	364	1	1	1	0.1	50	0.5	FALSE	668111	0.139860895	0.200285998	0.65010902	9.652444926	1.32E-05	15918	16244000	20
20221027 163820	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	49	1	1	1	0.1	50	0.5	FALSE	668111	0.113639749	0.4197121	0.717062979	7.107775701	0.034778597	16884	16152000	32
20221027 171340	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	69	1	1	1	0.1	50	0.5	FALSE	668111	0.263014066	0.495143948	0.853515866	11.77712605	2.09E-05	14990	16100000	79
20221027 171428	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	123	1	1	1	0.1	50	0.5	FALSE	668111	0.242950933	0.317703788	0.197445	11.4682434	1.53E-05	15308	16024000	81
20221027 171854	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	91	1	1	1	0.1	50	0.5	FALSE	668111	0.063911138	0.52626494	0.343480836	8.513113487	0.022494636	16115	16010000	86
20221027 160923	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	149	1	1	1	0.1	50	0.5	FALSE	668111	0.108800973	0.628164514	0.241343738	11.71140252	1.67E-05	15720	1.60E+07	3
20221027 174144	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	41	1	1	1	0.1	50	0.5	FALSE	668111	0.296204499	0.211592271	0.828059579	5.850081411	0.033253588	16168	15984000	115
20221027 164931	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	429	1	1	1	0.1	50	0.5	FALSE	668111	0.130958588	0.466012139	0.446181354	2.8431196	0.02791099	14549	15942000	46
20221027 162009	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	30	1	1	1	0.1	50	0.5	FALSE	668111	0.217634325	0.20001887	0.990295241	5.304500258	0.080944234	16047	15906000	17
20221027 163720	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	199	1	1	1	0.1	50	0.5	FALSE	668111	0.094622792	0.629192409	0.594077888	11.08452373	1.05E-05	15581	15878000	30
20221027 164949	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	48	1	1	1	0.1	50	0.5	FALSE	668111	0.248526784	0.244144366	0.090049805	7.406847048	0.027421611	15243	15834000	47
20221027 161555	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	12	1	1	1	0.1	50	0.5	FALSE	668111	0.296840205	0.654331834	0.978254457	8.485830909	0.052519656	14416	15728000	13
20221027 165105	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	412	1	1	1	0.1	50	0.5	FALSE	668111	0.024310913	0.64772249	0.184041351	6.033916596	0.023040112	16067	15706000	49
20221027 161037	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	141	1	1	1	0.1	50	0.5	FALSE	668111	0.091952855	0.448553214	0.214955858	9.910187281	0.001139409	16556	15688000	5
20221027 161512	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	418	1	1	1	0.1	50	0.5	FALSE	668111	0.055067722	0.317948959	0.579502373	10.78952303	4.17E-05	16250	15660000	11
20221027 174125	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	286	1	1	1	0.1	50	0.5	FALSE	668111	0.056492965	0.309605526	0.460723152	9.079574592	0.00148915	17012	15656000	114
20221027 161055	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	103	1	1	1	0.1	50	0.5	FALSE	668111	0.148861124	0.75694399	0.517433317	4.385784521	0.021812558	15935	15650000	6
20221027 172239	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	72	1	1	1	0.1	50	0.5	FALSE	668111	0.200511769	0.207198908	0.449380399	4.198119491	0.032322194	16427	15626000	90
20221027 165028	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	117	1	1	1	0.1	50	0.5	FALSE	668111	0.244456822	0.29806254	0.055658852	11.94427288	2.65E-05	15588	15544000	48
