Feature	Gain	Cover	Frequency
ctrx_quarter_lag1	0.141154256935909	0.00459931465172476	0.00430489506818271
mpasivos_margen	0.0413155906921293	0.00687226679109985	0.00383240658508949
azar_under	0.0327334687995427	0.0145061599372367	0.00416489848059954
cpayroll_trx	0.0246468166132501	0.00538825818710604	0.000489988056541122
mprestamos_personales	0.0229997400723677	0.00936914609185626	0.00160558586384457
mcuentas_saldo_lag1	0.0227134351647864	0.00480950672370181	0.00479050823136186
mcaja_ahorro_lag1	0.0185910380488618	0.0045961295018781	0.00529799586135088
ctrx_quarter_normalizado_avg6	0.017858195848346	0.00615171356923837	0.00692983108536729
mcomisiones_mantenimiento_tend6	0.0155981689746215	0.00633725897951986	0.00220932114779702
mactivos_margen	0.0098636440903387	0.00289317314106675	0.0034386661825118
ctrx_quarter_normalizado	0.00847715350431263	0.00946394950388614	0.00766918806354095
ctrx_quarter_normalizado_lag1	0.00824191502591644	0.00331310524410373	0.00384115637181344
mcomisiones_otras_avg6	0.00823363805212181	0.00399017212973994	0.00335554320863429
cliente_edad_lag1	0.00748692482567461	0.0051242454280912	0.00641359366865433
ctarjeta_visa_transacciones	0.00724456346501774	0.00250258892526319	0.00202120073323213
mpayroll_sobre_edad	0.00699569019150303	0.00685919237688212	0.00167558415763616
vm_status01_avg6	0.00663520511501955	0.00283158430473044	0.000297492748614253
mrentabilidad_tend6	0.00638847400294241	0.00348900479666181	0.00378428275810777
ctarjeta_debito_transacciones	0.00600265183401623	0.0022980577964634	0.00188120414564895
ctrx_quarter_tend6	0.00572632383322715	0.00275103756777841	0.00407740061336005
vm_msaldototal	0.0056836039440287	0.00134662989204853	0.002043075200042
mcuentas_saldo_delta1	0.00534713742239845	0.00450026205507412	0.0026905594176142
vm_Fvencimiento_avg6	0.00509643448622217	0.00250321482807149	0.00291805387243686
mrentabilidad_annual_lag1	0.00507599224999916	0.00337611279347218	0.00420864741421928
vm_status01_delta1	0.0049344494211192	0.00203549156838329	0.000144371480945152
mpayroll_sobre_edad_lag1	0.00458339282758398	0.0031657120872257	0.00183745521202921
tcallcenter_tend6	0.00451516916902604	0.00413876145642938	0.00163183522401641
mrentabilidad_annual_delta1	0.00451313195507786	0.00281725113042046	0.0045630137765392
mtarjeta_visa_consumo	0.00450217221617222	0.00589341043473032	0.00355241340992313
ctrx_quarter_normalizado_delta1	0.0044894376718222	0.00215094977308693	0.00260306155037471
Master_Fvencimiento	0.00443650811113269	0.00250948776510574	0.00626922218770917
mrentabilidad_annual	0.00436216678957725	0.00469146145405721	0.00665858769692489
