Feature	Gain	Cover	Frequency
azar_under	0.680730602592444	0.0689880229404343	0.0579150579150579
ctrx_quarter_normalizado	0.166391152137105	0.0171158732740613	0.0141570141570142
mcaja_ahorro	0.027224860456914	0.00913728106185227	0.00772200772200772
cpayroll_trx	0.0221012590507823	0.010527085346777	0.00900900900900901
mpasivos_margen	0.0177991686620117	0.00560631804615221	0.00772200772200772
mcomisiones_mantenimiento_tend6	0.00620276980544131	0.0118072932248916	0.0128700128700129
mprestamos_personales	0.00545211127810666	0.028813602846598	0.0218790218790219
mcomisiones_avg6	0.00377660721406718	0.0044081600780971	0.00514800514800515
ccomisiones_mantenimiento_tend6	0.00330494013299453	0.00710470334977847	0.00643500643500644
vm_mpagominimo_avg6	0.00325898251599405	0.000389024663384103	0.00128700128700129
mcuentas_saldo	0.00280110616196781	0.00810125764660943	0.00772200772200772
mtarjeta_visa_consumo	0.00233412234254951	0.00298697702517357	0.00386100386100386
mpasivos_margen_lag1	0.00199351833512475	0.00285068573744592	0.00386100386100386
mpayroll	0.00169791186707214	0.00578695886610365	0.00514800514800515
mv_status07_avg6	0.00155948493697969	0.00312261322379894	0.00257400257400257
ccomisiones_otras_avg6	0.00129012478789282	0.00606127742767997	0.00900900900900901
vm_status04	0.00117767497018881	0.00147843784046209	0.00128700128700129
tcallcenter_tend6	0.00109666945519483	0.00493252615001056	0.00386100386100386
cproductos_tend6	0.00105616037921207	0.00618305849179229	0.00514800514800515
cdescubierto_preacordado	0.00101845740952825	0.0123309714532477	0.00900900900900901
mtarjeta_master_consumo_avg6	0.000998299855408043	0.00257063514622473	0.00386100386100386
mcuenta_debitos_automaticos	0.000956689118861383	0.0082689277023359	0.00643500643500644
ctrx_quarter	0.000944299174055054	0.00507648198023478	0.00514800514800515
mcaja_ahorro_lag1	0.000875746085223618	0.00434111170847959	0.00386100386100386
mpasivos_margen_avg6	0.000855863285897485	0.00269693632514273	0.00386100386100386
mactivos_margen_delta1	0.000716449530463098	0.00966105755357368	0.00900900900900901
ctrx_quarter_delta1	0.000703763986373552	0.0100001971818198	0.0102960102960103
mactivos_margen_avg6	0.000687410233969622	0.00821331063755302	0.00772200772200772
vm_mpagominimo_lag1	0.000682313515359161	0.00199392745503976	0.00257400257400257
chomebanking_transacciones_tend6	0.000589745547579937	0.0150246323328791	0.0141570141570142
vm_cconsumos_tend6	0.000559897224351504	0.00343243761471839	0.00643500643500644
mrentabilidad_annual_delta1	0.000537160329175601	0.00561247588371356	0.00772200772200772
ccallcenter_transacciones_avg6	0.000527388087427378	0.00410547615839242	0.00386100386100386
vmr_mpagospesos_tend6	0.000521123862465979	0.00202091712605336	0.00257400257400257
mrentabilidad_annual	0.000504226243142255	0.0078519634887399	0.00900900900900901
ccomisiones_otras_tend6	0.000500203579175381	0.00857426473290478	0.00900900900900901
Visa_mpagospesos_delta1	0.00049177865192411	0.00622609784581155	0.00772200772200772
ctarjeta_visa_debitos_automaticos_avg6	0.000475183364002207	0.00241315172603859	0.00257400257400257
Visa_fechaalta_lag1	0.000464468954601562	0.00443718052532774	0.00514800514800515
vmr_mpagominimo	0.000462826294863603	0.00410989800983276	0.00386100386100386
ctrx_quarter_tend6	0.00045825928683355	0.00640958830335788	0.00643500643500644
ctrx_quarter_normalizado_avg6	0.000456503628794239	0.00975417846946161	0.00772200772200772
mcuentas_saldo_tend6	0.000456027343616596	0.0036151747197971	0.00643500643500644
mcomisiones_otras_tend6	0.000446107115766294	0.00961467724513284	0.0102960102960103
Master_msaldopesos_avg6	0.000425509109448068	0.00420203629206728	0.00386100386100386
vmr_msaldopesos2_delta1	0.000419801189703971	0.0146654797325586	0.0128700128700129
mrentabilidad_annual_lag1	0.000410096008585669	0.00950088826806823	0.00900900900900901
Visa_fultimo_cierre_tend6	0.000401975927102723	0.0082607390885575	0.00643500643500644
mcuenta_corriente_avg6	0.000399590120614837	0.00972155503216848	0.00772200772200772
mcaja_ahorro_delta1	0.000394702762099182	0.00599409804024199	0.00772200772200772
mcuenta_corriente	0.000384291797977746	0.00882771870657373	0.00772200772200772
mrentabilidad	0.000370605948024296	0.00846041024692994	0.00772200772200772
ctransferencias_recibidas_avg6	0.000369452044331001	0.00910243032161141	0.00772200772200772
mpayroll_sobre_edad	0.000360246688006795	0.00190182192726035	0.00257400257400257
vm_msaldopesos_lag1	0.000357328058921411	0.00663153249120756	0.00514800514800515
mrentabilidad_annual_avg6	0.000355612860361226	0.00266716252544448	0.00514800514800515
mautoservicio	0.000345755436305329	0.00127460686629022	0.00386100386100386
vm_status01_avg6	0.000342651607190839	0.0132304742995771	0.0102960102960103
cliente_antiguedad_avg6	0.000325628668518506	0.00260774594386843	0.00514800514800515
vmr_msaldopesos2_avg6	0.000324758017005562	0.00683949052672374	0.00643500643500644
mcaja_ahorro_avg6	0.000323062848696665	0.00395218530846082	0.00386100386100386
mrentabilidad_tend6	0.000314167655113992	0.00207440515125385	0.00386100386100386
catm_trx_tend6	0.000307041240199462	0.00434209434213299	0.00514800514800515
Visa_mpagominimo_tend6	0.000304637697982569	0.00681531773884991	0.00643500643500644
mrentabilidad_annual_tend6	0.000291859752552508	0.0073009680448191	0.00643500643500644
mcuentas_saldo_lag1	0.00028895363016061	0.00640444585390504	0.00772200772200772
mcuenta_corriente_lag1	0.000284372122182796	0.00450534254641912	0.00386100386100386
vm_mpagospesos_tend6	0.000283819528261648	0.00146644970989052	0.00257400257400257
mtransferencias_recibidas_tend6	0.000278952125087398	0.00451916492647706	0.00514800514800515
ccomisiones_mantenimiento_avg6	0.000277224206503407	0.00233044672687678	0.00257400257400257
Visa_mpagominimo_delta1	0.000275236197549153	0.00676952701060111	0.00643500643500644
mactivos_margen_lag1	0.000269177121444363	0.0022066021320923	0.00257400257400257
Visa_cconsumos_avg6	0.000265352551777301	0.00730823953385432	0.00643500643500644
vmr_mpagospesos_avg6	0.000263120908199878	0.00417612751807244	0.00514800514800515
cliente_antiguedad	0.00025795878023387	0.00330754487737027	0.00386100386100386
mautoservicio_tend6	0.000250941228920853	0.00535934945459574	0.00514800514800515
mcomisiones_otras_avg6	0.000247911228381355	0.00360328485259087	0.00386100386100386
mcomisiones_delta1	0.000246949730722202	0.00161807008261132	0.00386100386100386
vm_fechaalta_lag1	0.000241746390921287	0.00622678568936893	0.00514800514800515
ccomisiones_otras_lag1	0.000240993001059116	0.00286018452942886	0.00257400257400257
thomebanking_tend6	0.00023686352862708	0.00463259360453542	0.00386100386100386
ccajas_transacciones_tend6	0.000235812617880348	0.00449813656629413	0.00386100386100386
Master_status_avg6	0.000234173869741055	0.00113464707958985	0.00128700128700129
ccajas_consultas_avg6	0.00023277662455022	0.00298386535193778	0.00257400257400257
mcuentas_saldo_delta1	0.000231791344631734	0.00106933469609336	0.00257400257400257
vmr_mpagominimo_avg6	0.000227836141899807	0.00643228714075159	0.00643500643500644
cliente_edad_avg6	0.000227235276701531	0.00528899288501175	0.00514800514800515
vmr_msaldopesos2_lag1	0.000227200352411358	0.00652668548038896	0.00514800514800515
Master_fechaalta_avg6	0.000224239327589223	0.00238046277983523	0.00257400257400257
mcomisiones_tend6	0.000223863983478742	0.000987022750392906	0.00257400257400257
vm_msaldototal_delta1	0.000223366340842104	0.00651004621719126	0.00514800514800515
Visa_Fvencimiento_avg6	0.000221788825018151	0.00501611551946044	0.00514800514800515
ctarjeta_visa_debitos_automaticos_tend6	0.000218347808607647	0.00176156735046396	0.00128700128700129
mcuentas_saldo_avg6	0.000215978584887962	0.00186870717314051	0.00257400257400257
vmr_msaldopesos2_tend6	0.000215670822519632	0.00540474712938318	0.00514800514800515
mttarjeta_visa_debitos_automaticos_tend6	0.000213411719584712	0.00474998557166252	0.00386100386100386
Master_fechaalta	0.000205597644973274	0.00142390167269796	0.00386100386100386
cliente_edad	0.0002051532534925	0.0033300471880333	0.00386100386100386
mcuenta_corriente_tend6	0.000201388113418163	0.00353076648896938	0.00386100386100386
cliente_edad_lag1	0.000193378258570902	0.0031473428374097	0.00386100386100386
