Feature	Gain	Cover	Frequency
azar_under	0.443570255094563	0.0599649717477845	0.00764408376761985
ctrx_quarter_normalizado_lag1	0.0834247085146828	0.00541475709032376	0.00259610392107844
ctrx_quarter	0.0523010275288211	0.0191427135519959	0.00688448299071172
ctrx_quarter_normalizado	0.0205119569584746	0.026122243846314	0.0037210822868791
mcuentas_saldo	0.0186122394129885	0.0095835651989786	0.00939405011442088
cpayroll_trx	0.0167332469284716	0.0197979145322331	0.00272110151727851
mprestamos_personales	0.0132306228247446	0.0124689090812978	0.00476913905501817
mpasivos_margen	0.00888700013755666	0.00929076744378183	0.0107017172746678
mcomisiones_mantenimiento_tend6	0.00825028391639962	0.0158926158867412	0.00875944693371281
mcaja_ahorro	0.00614442549851826	0.00645035668992155	0.00991327089863656
mpayroll	0.00605593518354999	0.0141457255449596	0.00244226072575527
vm_msaldototal	0.00587416204303928	0.00145083076167963	0.001846118343878
mtarjeta_visa_consumo	0.0054666794314458	0.00472159800668603	0.00291340551143247
mcaja_ahorro_lag1	0.0050944187413028	0.00392539761879798	0.00619218861175747
mcomisiones_avg6	0.00474757764076768	0.0072350172011868	0.00770177496586604
mprestamos_personales_lag1	0.00459646319406336	0.00271211798526563	0.00204803753773966
ccomisiones_mantenimiento_tend6	0.00438629378273969	0.0215258300805714	0.00595180861906502
mpayroll_sobre_edad	0.00405637026893358	0.0106445525271465	0.00209611353627815
mrentabilidad_annual_avg6	0.00391209996862561	0.00580161974389599	0.00719216938135805
vm_status01_avg6	0.00385679994206731	0.00167777882975653	0.000807676775446626
mactivos_margen	0.00346267163126084	0.00144021918509513	0.00389415588161766
ctarjeta_visa_transacciones	0.00294514089627538	0.00179113363259739	0.00166342954943174
mactivos_margen_avg6	0.00289267044863754	0.00226512022554318	0.00548066383338782
ctrx_quarter_tend6	0.0027470604484903	0.00194577649585693	0.00663448779831157
mcaja_ahorro_avg6	0.00264220469494744	0.00197418758693711	0.00611526701409588
numero_de_cliente	0.00261616255187203	0.00288419415291399	0.00871137093517432
cpayroll_trx_avg6	0.00250894446967407	0.00454567237465869	0.00242303032633988
mrentabilidad	0.00246584128377401	0.00182826563412904	0.00491336705063364
mrentabilidad_annual	0.00238029320744189	0.0039260108078141	0.00595180861906502
chomebanking_transacciones_tend6	0.00210963764853969	0.00256598311960474	0.00527874463952616
mrentabilidad_annual_lag1	0.00208465902544258	0.0021143183101485	0.0055575854310494
mcuenta_corriente_lag1	0.00207458049520607	0.00195241937686489	0.00570181342666487
ccallcenter_transacciones_avg6	0.0019270444080706	0.00473438129436928	0.0023268783292629
cliente_edad	0.00191458160652784	0.00266058455836931	0.00825945654891252
azar_sampling	0.0018797046629953	0.00268977065223374	0.0115382396492375
cliente_antiguedad_lag1	0.00186785473247689	0.00184462585773965	0.0041922270725563
mactivos_margen_delta1	0.00185751231864478	0.00325997682162552	0.00552873983192631
mrentabilidad_annual_delta1	0.00179438503178778	0.00196132765062684	0.00753831657083518
Visa_Fvencimiento_avg6	0.00178872932784026	0.00101596903456788	0.00393261668044845
mcuentas_saldo_delta1	0.00177810072865903	0.00161788218600147	0.00467298705794119
mrentabilidad_annual_tend6	0.00177519345506153	0.00183049696082658	0.00769215976615834
ctrx_quarter_lag1	0.00175884175921045	0.00625931424534406	0.00456721986115652
mcuentas_saldo_tend6	0.00167738100099868	0.00168437912819392	0.00599026941789581
vm_msaldopesos	0.00167429203830931	0.00171135092838904	0.00158650795177016
mcuenta_corriente_tend6	0.00166592593986678	0.00227325349652087	0.00636526220649603
ccomisiones_mantenimiento_avg6	0.00166151894571571	0.00316878198850606	0.00254802792253995
mrentabilidad_tend6	0.00164247423175064	0.00159358457123776	0.00613449741351128
ccomisiones_otras_avg6	0.0016009175738538	0.011876951734862	0.00502874944712602
cliente_antiguedad	0.00159730886341567	0.00230813713832675	0.00599988461760351
vm_Fvencimiento	0.00157410561147323	0.0012537501085962	0.00447106786407954
mcomisiones_otras_avg6	0.00147929714508162	0.00421430332704522	0.002769177515817
cproductos_tend6	0.00140761204791056	0.00459987147047231	0.00283648391377089
Master_Fvencimiento	0.00137415632434718	0.00132649817214742	0.00551912463221861
mcomisiones_mantenimiento_delta1	0.00137249697738076	0.00348260701704724	0.00396146227957155
mpasivos_margen_avg6	0.00137213734611295	0.00425301088368773	0.00869214053575893
mpasivos_margen_lag1	0.00135775836777932	0.00313285081546432	0.00829791734774331
chomebanking_transacciones_delta1	0.00135347403191414	0.0012086381333409	0.0032595527009096
mtransferencias_recibidas_avg6	0.00134031041187792	0.000951354241994347	0.00361531509009442
tcallcenter_tend6	0.00132687707295426	0.00460235829259324	0.0023172631295552
cdescubierto_preacordado_avg6	0.00131906167449563	0.00360446981748676	0.000990365569892887
mcomisiones_lag1	0.00129527438265688	0.00154105471219024	0.00385569508278687
mcuenta_corriente_delta1	0.00128178373467111	0.00186273196674339	0.00621141901117286
vm_mpagominimo	0.00125178997954634	0.0024302895002461	0.00250956712370916
