fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221029 150233	309	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	888	1	1	1	0.1	50	0.5	FALSE	668111	0.0521193647215114	0.759275843540672	1913	1500	0.000406121237870597	14980	15880000	1
20221029 150535	309	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	548	1	1	1	0.1	50	0.5	FALSE	668111	0.242897988393524	0.725419212679844	3871	768	0.000104556205680114	11746	17388000	2
20221029 150912	309	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	614	1	1	1	0.1	50	0.5	FALSE	668111	0.0715719700996124	0.374198503803927	4071	1203	0.00648729907124437	13706	17708000	3
20221029 151052	309	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	321	1	1	1	0.1	50	0.5	FALSE	668111	0.293833372671506	0.639664415747393	4576	281	0.000830302597520568	13934	15252000	4
20221029 151550	309	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1058	1	1	1	0.1	50	0.5	FALSE	668111	0.104799524365299	0.338572437758557	5615	1565	0.00217837051069381	12143	18914000	5
20221029 151738	309	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	378	1	1	1	0.1	50	0.5	FALSE	668111	0.169047845240493	0.897852787654847	5089	89	0.0046750249272979	12317	18246000	6
20221029 151934	309	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	343	1	1	1	0.1	50	0.5	FALSE	668111	0.25726969755262	0.21892971592024	2140	806	9.17957019901586e-05	12929	16622000	7
20221029 152242	309	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	499	1	1	1	0.1	50	0.5	FALSE	668111	0.148981687231935	0.451330459711608	1349	1807	7.11439759321766e-06	13292	16296000	8
20221029 152449	309	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	345	1	1	1	0.1	50	0.5	FALSE	668111	0.0856169062406843	0.902074606111273	2613	1768	0.00499788536574356	13645	18390000	9
20221029 152741	309	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	555	1	1	1	0.1	50	0.5	FALSE	668111	0.196088905296056	0.504627074941527	7647	576	0.00328126449094674	13833	17774000	10
20221029 153935	309	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	707	1	1	1	0.1	50	0.5	FALSE	668111	0.0315067125533096	0.43870755295502	200	907	3.45714796262754e-05	11794	20012000	11
