fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221028 232451	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	295	1	1	1	0.1	50	0.5	FALSE	668111	0.0759311120370694	0.49093568288954	3326	1333	0.0160997461638575	12159	18642000	1
20221028 233310	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1028	1	1	1	0.1	50	0.5	FALSE	668111	0.237465282227422	0.379406304343138	6910	915	0.000101251505589398	15587	14346000	2
20221028 233710	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	251	1	1	1	0.1	50	0.5	FALSE	668111	0.116373542936708	0.673045091028325	777	458	0.00026513954989644	13414	17972000	3
20221028 234128	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	381	1	1	1	0.1	50	0.5	FALSE	668111	0.15978826023711	0.605218188790605	3852	1508	0.00236504306169309	13332	17496000	4
20221028 235017	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1557	1	1	1	0.1	50	0.5	FALSE	668111	0.0521282383607468	0.200587364379317	7363	163	0.00634232620555916	16396	15928000	5
20221028 235404	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	242	1	1	1	0.1	50	0.5	FALSE	668111	0.274337098941978	0.517191432416439	4085	1240	0.00160824845833666	17220	13080000	6
20221028 235646	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	143	1	1	1	0.1	50	0.5	FALSE	668111	0.192863808327893	0.856069587136153	1428	1703	0.00130419645226822	15095	15970000	7
20221029 003554	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3082	1	1	1	0.1	50	0.5	FALSE	668111	0.00538511450300575	0.583509950933512	2801	1985	0.0150691544641698	13925	19430000	8
20221029 005036	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1832	1	1	1	0.1	50	0.5	FALSE	668111	0.0259111007421598	0.847178473649546	2119	543	0.000404611569581757	16788	15624000	9
20221029 005529	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	564	1	1	1	0.1	50	0.5	FALSE	668111	0.150644183869808	0.300237620912958	6291	1627	0.00311101375766961	16448	14944000	10
20221029 005914	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	472	1	1	1	0.1	50	0.5	FALSE	668111	0.184541143615934	0.937694620678667	4542	347	0.000757262035412679	15531	15658000	11
20221029 010127	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	167	1	1	1	0.1	50	0.5	FALSE	668111	0.219574703432008	0.259660652989987	5939	95	0.0139534563971724	14523	15914000	12
20221029 010900	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1350	1	1	1	0.1	50	0.5	FALSE	668111	0.0973069120026048	0.749869204720017	7589	794	0.00161594046062717	15674	16012000	13
20221029 011218	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	304	1	1	1	0.1	50	0.5	FALSE	668111	0.246189757067041	0.97347444590414	290	692	4.15123981566797e-07	13458	15164000	14
20221029 011642	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	609	1	1	1	0.1	50	0.5	FALSE	668111	0.281826876415507	0.777084277640097	5004	1841	6.9908192083494e-05	14483	13754000	15
20221029 012615	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	951	1	1	1	0.1	50	0.5	FALSE	668111	0.0916189104933437	0.402263812487945	1540	1117	4.89837482802649e-06	15291	15978000	16
20221029 013547	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	799	1	1	1	0.1	50	0.5	FALSE	668111	0.0495438343997817	0.57569604260138	2577	1676	0.00193680622843439	15308	17304000	17
20221029 021945	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4651	1	1	1	0.1	50	0.5	FALSE	668111	0.00508713672674938	0.458049762110517	3143	2010	0.00939264834102659	15685	17350000	18
20221029 024430	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3238	1	1	1	0.1	50	0.5	FALSE	668111	0.00513432417818556	0.861908916730976	2803	1303	0.0127176797159368	15196	18088000	19
20221029 032109	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3445	1	1	1	0.1	50	0.5	FALSE	668111	0.00539926258058707	0.489444606703181	2747	1527	0.0128189743838614	14454	18372000	20
20221029 034537	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3404	1	1	1	0.1	50	0.5	FALSE	668111	0.00668319738621209	0.657062476608076	2852	1801	0.0104189082000837	13935	18610000	21
20221029 035212	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	780	1	1	1	0.1	50	0.5	FALSE	668111	0.0416117929754584	0.624485805738198	2795	2043	0.00367870085624293	16288	16144000	22
20221029 044607	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4023	1	1	1	0.1	50	0.5	FALSE	668111	0.00500213633530469	0.57948632433858	1857	1222	0.0082461262421484	12721	19598000	23
20221029 054354	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6344	1	1	1	0.1	50	0.5	FALSE	668111	0.00508928384739484	0.578206513814523	5805	1231	0.0167553817567195	13165	19270000	24
20221029 060427	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1492	1	1	1	0.1	50	0.5	FALSE	668111	0.0100817558356004	0.570729213073256	2531	1428	0.0159654494724117	13665	19630000	25
20221029 063238	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2533	1	1	1	0.1	50	0.5	FALSE	668111	0.00810173421128734	0.562412970764644	2909	492	0.0111557187887681	14934	18212000	26
20221029 064149	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	582	1	1	1	0.1	50	0.5	FALSE	668111	0.0800254957992995	0.569584111634351	331	1397	1.39345658847362e-06	13290	18380000	27
20221029 064756	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	509	1	1	1	0.1	50	0.5	FALSE	668111	0.076573611588875	0.539438312605384	5267	90	0.0099542790563391	14682	17356000	28
20221029 081840	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5682	1	1	1	0.1	50	0.5	FALSE	668111	0.00508620673860553	0.575342904640699	282	1551	4.24342972994293e-06	15992	16896000	29
20221029 082640	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1047	1	1	1	0.1	50	0.5	FALSE	668111	0.0224994585026393	0.871105257262476	3547	2010	0.0136662848722705	13210	19260000	30
20221029 083156	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	443	1	1	1	0.1	50	0.5	FALSE	668111	0.185547254170487	0.415499710212462	2459	1231	0.000123584051548145	14530	15900000	31
20221029 083541	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	502	1	1	1	0.1	50	0.5	FALSE	668111	0.140516938761836	0.62100894321166	6703	941	0.00648890545201058	13901	17718000	32
20221029 084030	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	795	1	1	1	0.1	50	0.5	FALSE	668111	0.133537495414914	0.812219832489267	7916	1683	0.00345161145087335	15036	15848000	33
20221029 084247	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	226	1	1	1	0.1	50	0.5	FALSE	668111	0.233215398651466	0.854815989599749	5773	822	0.00580345698921125	16420	14680000	34
20221029 084748	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	682	1	1	1	0.1	50	0.5	FALSE	668111	0.0910818052222789	0.772256545981578	4582	1879	0.00330055455914902	13877	17926000	35
20221029 085106	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	355	1	1	1	0.1	50	0.5	FALSE	668111	0.212723044474152	0.739844568829425	3559	1753	0.000592110110794325	14735	16130000	36
20221029 085926	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	841	1	1	1	0.1	50	0.5	FALSE	668111	0.110426640969672	0.49294946697522	5618	1144	0.00170989007608227	15411	16618000	37
20221029 090243	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	206	1	1	1	0.1	50	0.5	FALSE	668111	0.0865983823506755	0.715970262558572	1636	1956	0.00561189911007646	15434	16572000	38
20221029 090624	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	486	1	1	1	0.1	50	0.5	FALSE	668111	0.1878254814585	0.20047323490046	3785	1383	0.000737874153500766	13934	15892000	39
20221029 091259	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	725	1	1	1	0.1	50	0.5	FALSE	668111	0.0640634421282879	0.362428874749132	5793	1757	0.00862694259789816	15716	16488000	40
20221029 091933	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	849	1	1	1	0.1	50	0.5	FALSE	668111	0.0431022743253619	0.955114286450111	3746	693	0.00466127227041174	16529	16062000	41
20221029 092422	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	450	1	1	1	0.1	50	0.5	FALSE	668111	0.167946069452504	0.40852439577952	7287	928	0.00814047384105402	13588	17144000	42
20221029 093011	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	447	1	1	1	0.1	50	0.5	FALSE	668111	0.250665563410064	0.492338247565366	2041	372	5.14762064721034e-06	12877	16486000	43
20221029 093319	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	374	1	1	1	0.1	50	0.5	FALSE	668111	0.258974661318839	0.614011511433125	7428	1713	0.00290599182464046	16148	15144000	44
20221029 093504	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	85	1	1	1	0.1	50	0.5	FALSE	668111	0.217120380654099	0.207381796109118	27	513	0.000165048127307595	18120	9120000	45
20221029 095731	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2241	1	1	1	0.1	50	0.5	FALSE	668111	0.0140467816305861	0.503028593222168	3082	1352	0.00618449755626907	14818	17724000	46
20221029 100724	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	878	1	1	1	0.1	50	0.5	FALSE	668111	0.0429233566351471	0.581567596494919	3017	1518	0.00402126800221605	14456	18288000	47
20221029 103001	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2195	1	1	1	0.1	50	0.5	FALSE	668111	0.0125718966671889	0.569501091712806	3954	1184	0.0104025652667119	14975	18770000	48
20221029 114210	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9925	1	1	1	0.1	50	0.5	FALSE	668111	0.0050157905531056	0.596826853851799	3431	1410	0.00221936305625493	15655	17410000	49
20221029 114844	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	738	1	1	1	0.1	50	0.5	FALSE	668111	0.0860407541630906	0.283791193204001	1823	1722	0.0001333716558698	15392	17376000	50
20221029 115128	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	314	1	1	1	0.1	50	0.5	FALSE	668111	0.238719882791258	0.964209090174921	5545	206	0.00295766412261475	14561	15598000	51
20221029 115455	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	390	1	1	1	0.1	50	0.5	FALSE	668111	0.0901587114083068	0.939032229480892	3977	1740	0.0077095893126039	14301	17478000	52
20221029 115830	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	429	1	1	1	0.1	50	0.5	FALSE	668111	0.104624495651295	0.617082366149686	5806	1263	0.00936229616556888	14739	18202000	53
20221029 120253	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	303	1	1	1	0.1	50	0.5	FALSE	668111	0.177267883109881	0.549210814912803	4156	2030	0.00492781967098082	12951	19138000	54
20221029 120912	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	481	1	1	1	0.1	50	0.5	FALSE	668111	0.128044081180771	0.554682852477767	3336	356	0.00103604186256902	15141	15718000	55
20221029 121358	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	164	1	1	1	0.1	50	0.5	FALSE	668111	0.24763931525913	0.25885915485844	337	1200	2.5938800554263e-06	13857	15246000	56
20221029 121609	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	34	1	1	1	0.1	50	0.5	FALSE	668111	0.243499181319299	0.330750052900799	47	2038	9.47352321571199e-05	20250	6380000	57
20221029 130853	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5774	1	1	1	0.1	50	0.5	FALSE	668111	0.00772991835711581	0.566092514990666	5806	2048	0.0102829557504038	14284	18872000	58
20221029 131417	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	665	1	1	1	0.1	50	0.5	FALSE	668111	0.0956613715414971	0.659090273853112	2989	1251	0.000836551036070756	14064	18192000	59
20221029 132952	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1665	1	1	1	0.1	50	0.5	FALSE	668111	0.00710470731291241	0.886732211563756	1938	1772	0.014653498736723	14142	18516000	60
20221029 133344	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	195	1	1	1	0.1	50	0.5	FALSE	668111	0.0978792787085592	0.540540250632341	2766	2048	0.013215894647144	13459	18442000	61
20221029 134123	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	705	1	1	1	0.1	50	0.5	FALSE	668111	0.148409390847077	0.580349983226927	3810	2048	0.000224090869723744	15984	15312000	62
20221029 135557	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1464	1	1	1	0.1	50	0.5	FALSE	668111	0.0195576531168655	0.796963320091925	1128	946	0.000504379565696208	15656	17088000	63
20221029 135911	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	263	1	1	1	0.1	50	0.5	FALSE	668111	0.155426802676327	0.9617199795397	2383	1597	0.00204865225023998	12858	18044000	64
20221029 140457	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	496	1	1	1	0.1	50	0.5	FALSE	668111	0.157771431583667	0.512114546411112	6143	1554	0.00426227405992091	13500	17880000	65
20221029 140847	978	486161	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	310	1	1	1	0.1	50	0.5	FALSE	668111	0.280573912789945	0.427881349813193	7924	1332	0.00447300643628461	16049	14942000	66
