Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.0994855111674722	0.00663554606505558	0.00504413619167718
ctrx_quarter	0.0777125403850455	0.00604811597351683	0.00668166601649324
mcuentas_saldo	0.0219780046816634	0.00939406761398552	0.00781795748772987
mpayroll_sobre_edad	0.0214946878002139	0.00877252189024574	0.00356083355257786
ctrx_quarter_normalizado_lag1	0.0182670097468655	0.00227166848033974	0.00270577989058942
mpasivos_margen	0.0157631309464802	0.00484116744747305	0.00744826585137943
cpayroll_trx	0.0154888356449951	0.005040203712368	0.00276248106180881
mprestamos_personales	0.0153299680921896	0.00971604255930956	0.0030527910584521
mcaja_ahorro	0.0152276640870194	0.00362429780603043	0.00762290545873516
ctrx_quarter_lag1	0.0116411781195596	0.00201724931942117	0.00310495613597394
mcomisiones_mantenimiento_tend6	0.0111152236021857	0.00475028148890265	0.00535259056311067
mtarjeta_visa_consumo	0.0103389291778508	0.00322409008571694	0.00449300080742468
ccomisiones_mantenimiento_tend6	0.00937771923069	0.00513345958332991	0.00252206809583859
mprestamos_personales_lag1	0.00854379186872037	0.00296631801137808	0.00125422990737297
mcomisiones_avg6	0.00743916375986329	0.00361030621240942	0.00491939361499451
mpayroll	0.00742473559568247	0.00326005650574411	0.00288268754479393
mcomisiones_otras_avg6	0.00694789596086044	0.0039963872147944	0.00482867174104348
mcuenta_corriente	0.00582846238388982	0.0017887342053877	0.00353134894354378
vm_status01	0.00549563990897322	0.0016991684924515	0.0005602075716476
mcuenta_corriente_avg6	0.00544639095354747	0.00478207420026604	0.00611465430429931
mrentabilidad_annual_avg6	0.00533419450423174	0.00390243222651814	0.00611465430429931
mcaja_ahorro_lag1	0.00494959450554187	0.00199870912267155	0.00465176408683898
numero_de_cliente	0.004929287360762	0.0039915324116813	0.00757754452175964
mcuentas_saldo_tend6	0.00463680356549438	0.00257555427234277	0.00491485752129696
mrentabilidad_annual_lag1	0.00437428149497851	0.00243073083265243	0.00462454752465367
mcuentas_saldo_lag1	0.00431379070854789	0.00240015787293758	0.00436145409019569
vm_msaldopesos	0.00418309449451533	0.00148796349103889	0.00230433559835612
cliente_edad_avg6	0.0041541421572197	0.0050867812593153	0.00724867772868716
mpasivos_margen_avg6	0.00409372378012627	0.00351971805573457	0.00530042548558883
mrentabilidad_annual_tend6	0.00407521134291359	0.00396052161901483	0.00617589156921625
mactivos_margen	0.00405425248234433	0.00247050300237896	0.00399176245384525
cpayroll_trx_avg6	0.0038509524965067	0.00420483339680901	0.00247670715886307
ctransferencias_recibidas_avg6	0.0038403878526566	0.00410572703021125	0.00559980766962722
chomebanking_transacciones_avg6	0.00375253958825685	0.00237617967769608	0.00503733205113085
mcuenta_corriente_tend6	0.00374442233666462	0.00409986384308143	0.00532537400092536
mactivos_margen_avg6	0.00372998302887051	0.00399347279484958	0.00464722799314143
mcomisiones_mantenimiento	0.00357986238968613	0.0043055863078226	0.00266949114100901
Visa_fechaalta	0.00355120705514018	0.00208978347207986	0.00435011385595181
cliente_edad_lag1	0.00353239107826945	0.00515266488041564	0.00662042875157629
mrentabilidad_annual	0.00351772076689689	0.00478113380302554	0.00423671151351302
mactivos_margen_tend6	0.0035055737364376	0.0025308000071213	0.00514393025302331
Master_Fvencimiento_avg6	0.00347963694325098	0.00278403442415534	0.00462454752465367
cliente_edad	0.00340559867183807	0.00388704117158127	0.00612372649169441
mcaja_ahorro_avg6	0.0032936130375337	0.00406439253285969	0.00550681774882742
mrentabilidad_annual_delta1	0.00327423711698894	0.00406915373030727	0.00541609587487639
mcuentas_saldo_avg6	0.00314553892302321	0.00274685264024521	0.0044158872145663
cdescubierto_preacordado_avg6	0.00314515518871887	0.00122105410720909	0.000743919366398432
ctrx_quarter_tend6	0.00307496347924086	0.00258760486945193	0.00476289838242899
mrentabilidad_avg6	0.00306801789947298	0.00310175234045002	0.00340887441370989
mrentabilidad	0.00306497783735874	0.00252625956618025	0.003771761909514
mcuentas_saldo_delta1	0.00305930253540946	0.00517390487403929	0.00408248432779628
cproductos_tend6	0.00304721061839896	0.00346644312721588	0.00174866412040607
vm_Fvencimiento_avg6	0.00303783556930671	0.00386871965540609	0.00414372159271322
ctrx_quarter_normalizado_tend6	0.00302060634980014	0.00221040715795749	0.00471300135175592
ccomisiones_otras_avg6	0.00297958636722319	0.00441202076190741	0.00671568671922487
Master_Fvencimiento	0.00297705516403763	0.00242190425245238	0.00446124815154182
cdescubierto_preacordado	0.00293130897745104	0.00128276250987686	0.00054433124370617
mactivos_margen_lag1	0.00284945067158813	0.00193179966085276	0.00320701824416885
mcuenta_corriente_lag1	0.00284779062821886	0.00183072941530979	0.00317980168198354
chomebanking_transacciones_tend6	0.00283386516111758	0.00259676595780144	0.00460867119671224
cliente_antiguedad	0.00282714846145524	0.00329173121923982	0.00466537236793163
Visa_mpagospesos_tend6	0.00281223744166587	0.00364449756895176	0.00456784635343428
ccajas_consultas_tend6	0.00277148023771305	0.00441985452758147	0.00131093107859236
ctarjeta_visa_transacciones	0.0027687251026507	0.00259911044002475	0.00315938926034456
mcomisiones_mantenimiento_avg6	0.00276169000558616	0.00354712300152668	0.00368104003556297
mactivos_margen_delta1	0.00275812148063246	0.00231853175103219	0.00348371995971949
ctrx_quarter_delta1	0.00275539149571946	0.00246473011829541	0.00372186487884094
mrentabilidad_tend6	0.00274153132093162	0.00225639815972649	0.00438186651183467
ccomisiones_mantenimiento_avg6	0.00272776578601259	0.00690737738952974	0.00333629691454907
cprestamos_personales	0.00271208157496497	0.0011999504173998	0.000632785070808423
azar	0.00269146850105154	0.0018914658571331	0.00506681666016493
Master_Fvencimiento_lag1	0.00267797776795551	0.00234390464238178	0.0043228972937665
Master_fechaalta_avg6	0.00266946585996167	0.00157059596820918	0.00371506073829461
Visa_Fvencimiento_avg6	0.00259643478084987	0.00188669253435486	0.00395547370426484
mtransferencias_recibidas_avg6	0.00258535564891832	0.00256657652654175	0.00469939307066327
Visa_fechaalta_avg6	0.0025466944342271	0.00210848370432215	0.00344969925698785
mcaja_ahorro_tend6	0.00253759205653973	0.00240894935101306	0.00410743284313281
chomebanking_transacciones	0.00249060233408632	0.00447838647105729	0.00370598855089951
Master_mfinanciacion_limite_tend6	0.00248291952149499	0.00561589473815315	0.00378763823745543
Visa_Fvencimiento	0.00245062049850261	0.00150553149104269	0.00372413292568971
vm_msaldototal	0.00244388709279256	0.00124160555189998	0.00196186052419099
ccomisiones_otras_tend6	0.00243140785086951	0.00205259951787708	0.00411650503052791
mpasivos_margen_tend6	0.00239779548501164	0.00257434994864414	0.00390557667359177
Visa_fechaalta_lag1	0.00238979461094416	0.00154832551020013	0.00334083300824662
mcomisiones_tend6	0.00237652800114601	0.0014697143494055	0.0034451631632903
Master_fechaalta_lag1	0.00236950663796056	0.00230789127798103	0.00402578315657688
Master_fechaalta	0.00235361543848714	0.00187314485994095	0.004014442922333
mprestamos_personales_avg6	0.00233808163365662	0.00183278147418889	0.000798352490769049
ccallcenter_transacciones_avg6	0.00229833690099176	0.00615250487960048	0.00535712665680822
Visa_cconsumos_avg6	0.00229177570196295	0.00135713277729616	0.00315031707294946
vm_Fvencimiento_lag1	0.00228421808001023	0.00471092964824574	0.00354722527148521
cliente_antiguedad_avg6	0.00226031975141329	0.00253845830935279	0.0035948542553095
Visa_Fvencimiento_lag1	0.00223854744029414	0.00155534602947471	0.00348598800656826
vm_status01_avg6	0.00221664445691493	0.000607561678962766	0.000233608825423898
mcomisiones_otras_tend6	0.00215498546206201	0.00158891658795914	0.0035109365219048
mttarjeta_visa_debitos_automaticos_avg6	0.00214749233171861	0.00194491351263841	0.00254248051747757
mpasivos_margen_lag1	0.002140426897701	0.00210053066691298	0.0043319694811616
vm_Fvencimiento	0.00212899613695306	0.0016959964682054	0.00337485371097825
cmobile_app_trx_avg6	0.00212186847028259	0.00346152684820451	0.00333402886770029
thomebanking_avg6	0.00209751030345225	0.00100430938663179	0.00259464559499941
ctarjeta_debito_avg6	0.00209456895024335	0.00221919717344445	0.0033703176172807
vmr_mpagominimo_avg6	0.00207469163636778	0.00166047354276286	0.00223629419289285
mtransferencias_recibidas_tend6	0.00205401039897618	0.00226520105542851	0.0035948542553095
ccallcenter_transacciones_tend6	0.00204178471249231	0.00379979535994513	0.0026332023914286
mcuenta_debitos_automaticos	0.00202673271693215	0.00178551254749233	0.00144020974897257
mcuenta_corriente_delta1	0.00201497123225959	0.00350560138720464	0.00316392535404211
mautoservicio	0.00201299444534934	0.00371239158874842	0.00451341322906366
mprestamos_personales_tend6	0.00201193995479187	0.00343871683657102	0.00145154998321645
cproductos_avg6	0.00200524714564859	0.00377247816946444	0.00450887713536611
vm_mpagominimo	0.00199690201197164	0.00109874094286542	0.0020072214611665
ctransferencias_recibidas_tend6	0.00198954703667719	0.00186496299819822	0.00335670933618805
Visa_cconsumos_tend6	0.00198559072798977	0.00291243823173441	0.00339753417946601
mcaja_ahorro_dolares_avg6	0.0019747720856935	0.00380349603917216	0.00327505964963212
cliente_antiguedad_lag1	0.00195826093339783	0.00178369426687565	0.00320701824416885
mautoservicio_avg6	0.00194920972314075	0.00485018119182387	0.0040802162809475
cproductos_delta1	0.00194168775397993	0.00173403641413677	0.000616908742866993
vmr_msaldopesos2	0.00191701513910435	0.00161029741470354	0.00281237809248188
mrentabilidad_lag1	0.00191271095463174	0.00134688819393219	0.00301423426202292
chomebanking_transacciones_lag1	0.00191016076921744	0.00148834975594999	0.00325011113429559
mrentabilidad_delta1	0.00189339974564385	0.00224333247900156	0.0038556796429187
Visa_mlimitecompra_tend6	0.00188935752045085	0.00160622674776028	0.00288268754479393
Master_mlimitecompra_tend6	0.00188216874651655	0.00203684111731937	0.00303918277735945
Visa_msaldopesos	0.00186756303020713	0.00225950908551652	0.00242907817503878
vm_fechaalta	0.00186355176053787	0.00148138453195766	0.00314124488555436
cproductos	0.00185922556907516	0.00363675962641614	0.00330908035236376
vmr_msaldopesos2_tend6	0.00185398364544777	0.00210055968278208	0.00278969762399412
mpasivos_margen_delta1	0.00182434226483525	0.00217498043309559	0.0034360909758952
Visa_mfinanciacion_limite_tend6	0.00181500629815757	0.00154582646539605	0.00267856332840411
ctrx_quarter_normalizado_delta1	0.00181125306411916	0.0014827729059089	0.00243815036243389
Visa_mpagado_avg6	0.00180170056202976	0.00321737760645757	0.00301650230887169
mv_status07_avg6	0.00178685156940516	0.000543198442223007	0.000399176245384525
Visa_mconsumospesos_tend6	0.00177490286892148	0.00249639454649118	0.00310495613597394
mcomisiones_otras	0.00176186022069206	0.00143949057090563	0.00261732606348717
mtransferencias_recibidas	0.00174802485507244	0.00254848458958452	0.00308227566748619
vm_fechaalta_avg6	0.00174736772415629	0.00115297433866992	0.0024744391120143
vm_cconsumos_avg6	0.00172679455556658	0.00246604828799752	0.00217959302167346
mttarjeta_visa_debitos_automaticos_tend6	0.00169302842561758	0.00327281928910379	0.00243588231558511
ccomisiones_mantenimiento_delta1	0.00169302760674777	0.00174840686536571	0.000644125305052301
