Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.0980229369317247	0.00673199502580972	0.00540251246328441
ctrx_quarter	0.0817468949209347	0.00673849627987095	0.00701230946872485
mcuentas_saldo	0.0215975963728191	0.00976577702429537	0.00827654795467284
mpayroll_sobre_edad	0.020606693187185	0.00917374172165815	0.00405399141160655
ctrx_quarter_normalizado_lag1	0.019898851657986	0.0026079806148609	0.0028951061328209
mprestamos_personales	0.0160978534648783	0.00932985264558035	0.0029541039288318
mpasivos_margen	0.0155633827788285	0.00542487547233279	0.0082386208000944
cpayroll_trx	0.0149902017171675	0.00514856666383616	0.00290353438939388
mcaja_ahorro	0.0143150591769181	0.00349217208032582	0.00785934925431
mcomisiones_mantenimiento_tend6	0.0108907000677102	0.0052092337934775	0.00555000695331167
ctrx_quarter_lag1	0.0105718490721371	0.00227312604139633	0.00340080152720009
mtarjeta_visa_consumo	0.0102859197668156	0.00322392462715406	0.00479567799002937
mprestamos_personales_lag1	0.00928552421942849	0.00292624843209729	0.00123895371622903
mpayroll	0.00882618177296893	0.00418048638392245	0.00333758960290269
ccomisiones_mantenimiento_tend6	0.00839450969838199	0.00509480793502625	0.00272232687307467
mcomisiones_avg6	0.00806771663499205	0.00361026470899542	0.00480410624660236
mcomisiones_otras_avg6	0.00687007738759433	0.00409571356547281	0.0048420334011808
mcuenta_corriente	0.00658815862295505	0.00157802740274715	0.00315216795829699
mcuenta_corriente_avg6	0.00573576671248212	0.00433368755554518	0.00593349262738256
vm_status01	0.00560796893552245	0.00168458879082256	0.000556264933817115
mcaja_ahorro_lag1	0.00538433594699563	0.00174903356799566	0.00475353670716444
mrentabilidad_annual_avg6	0.00518526383126632	0.00390509426798041	0.00599670455167996
numero_de_cliente	0.00480398451913337	0.00379175937823481	0.00713873331731965
mcuentas_saldo_tend6	0.00477939719375568	0.00260685837065139	0.00474932257887795
mrentabilidad_annual_tend6	0.00438407237829681	0.00410744084318611	0.0064771151763402
vm_msaldopesos	0.00433834948575592	0.00149967943946224	0.00263383017905831
chomebanking_transacciones_avg6	0.00410012585958712	0.00235064539223543	0.00513280825294884
mrentabilidad_annual_lag1	0.00402370322020959	0.00255283351744864	0.00463554111514263
cliente_edad_avg6	0.00398242874659121	0.00507448507493258	0.00695752580100043
mactivos_margen	0.00395753211809512	0.00242955000296716	0.00390649692157929
mcomisiones_mantenimiento	0.00382311121278842	0.00385568952264399	0.00262118779419883
cpayroll_trx_avg6	0.00379069093916816	0.00489603637600046	0.00281925182366402
cdescubierto_preacordado_avg6	0.00378655397244943	0.00141699802902867	0.000809112631006713
mactivos_margen_avg6	0.00376950674823547	0.0041739142889609	0.00447961836854237
mrentabilidad_annual	0.00374659002390781	0.00473680336548447	0.00439533580281251
ctransferencias_recibidas_avg6	0.00373929706817863	0.00369267387182003	0.00541094071985739
cliente_edad_lag1	0.00363715561800794	0.00541070107484859	0.00705445075158978
Visa_fechaalta	0.00357589742438705	0.0020878053983195	0.00444169121396394
mpasivos_margen_avg6	0.0035014575594678	0.00318548467781922	0.00539408420671142
mcaja_ahorro_avg6	0.00349866128966251	0.0048865241010655	0.00594192088395555
mcuenta_corriente_tend6	0.00346232211447972	0.0038452293738539	0.00482096275974833
cliente_edad	0.00342751199667043	0.00396046415625605	0.00622005335086411
Master_Fvencimiento_avg6	0.00331278672970758	0.00225287430481295	0.00426048369764472
