Feature	Gain	Cover	Frequency
azar_under	0.66821228776673	0.0254024135756373	0.00713615023474178
ctrx_quarter_normalizado	0.0236498817111296	0.0100586244461441	0.00332662642521797
ctrx_quarter_normalizado_avg6	0.0225010794431041	0.00499168012601475	0.00313883299798793
mpayroll_sobre_edad	0.0202247327614872	0.00550899296691474	0.0013682092555332
ctrx_quarter	0.0129856100991089	0.00590862090226411	0.00437290409121395
ctrx_quarter_lag1	0.011912310205155	0.00323622803664612	0.00308517773306506
mprestamos_personales	0.0053383505120992	0.0213694232081921	0.00300469483568075
mcuentas_saldo	0.00478593042428646	0.0103270514719152	0.00493628437290409
ctrx_quarter_normalizado_lag1	0.00454863801703773	0.00205622388983838	0.00169014084507042
mpasivos_margen	0.00450459638586663	0.00894944701020088	0.00630449362843729
mpayroll_sobre_edad_lag1	0.00412415898554819	0.00104258465405116	0.000375586854460094
mcomisiones_otras_avg6	0.00346592472928992	0.00261734161126157	0.00329979879275654
mpayroll	0.00321274577730591	0.00509375241847926	0.000858484238765929
mpasivos_margen_lag1	0.00311514485985457	0.00236765175673652	0.00399731723675386
mcaja_ahorro_lag1	0.00307154921461164	0.0032129210718696	0.00442655935613682
cpayroll_trx	0.00298025175481776	0.00756289633798934	0.000992622401073105
mcomisiones_avg6	0.00281601547089366	0.00265308574239482	0.00370221327967807
mcomisiones_mantenimiento_tend6	0.00258655843551742	0.0158458353995789	0.00539235412474849
ctrx_quarter_avg6	0.00248354766875142	0.00240819976881934	0.00324614352783367
mrentabilidad_annual_avg6	0.00221410417541056	0.00584481681397415	0.00826291079812206
mtarjeta_visa_consumo	0.00213808173221891	0.00401545416643648	0.00139503688799463
mpayroll_lag1	0.00198625021119315	0.00175454627283365	0.000697518443997317
ccomisiones_mantenimiento_tend6	0.00196327821455647	0.00841543254083004	0.00284372904091214
mcaja_ahorro	0.00190647190566442	0.00832221485943783	0.00421193829644534
mrentabilidad_annual_lag1	0.00190488925088974	0.00266634730357552	0.00560697518443997
cpayroll_trx_avg6	0.00185913651597338	0.00360679859887891	0.00128772635814889
mpasivos_margen_avg6	0.00169407470199262	0.00472991950283252	0.00651911468812877
chomebanking_transacciones_tend6	0.00167388161388414	0.00319722703707249	0.00681421864520456
ctrx_quarter_tend6	0.00162480954074564	0.00312608481707778	0.00732394366197183
mcuenta_corriente_avg6	0.00158492346977186	0.00372599998379708	0.00651911468812877
mactivos_margen	0.0014982847742217	0.00266757880695454	0.00434607645875252
mprestamos_personales_avg6	0.00143791457855804	0.00242356811677241	0.00171696847753186
mcuentas_saldo_tend6	0.00139139181494567	0.00321505839178361	0.00453386988598256
mcuenta_corriente_tend6	0.00138081279935541	0.00400315948807402	0.006841046277666
cliente_edad_avg6	0.00136803104029699	0.00268415830285888	0.00617035546613011
mcuentas_saldo_avg6	0.00132168187234787	0.00234367306284417	0.00348759221998659
Visa_mpagospesos_tend6	0.00131189800424624	0.00221699105822699	0.00346076458752515
mcomisiones_mantenimiento_delta1	0.0012855251269773	0.00337995771200595	0.00346076458752515
vmr_msaldopesos	0.00127997728046104	0.000517221241475096	0.00107310529845741
cliente_edad	0.00125309669737002	0.00526744528349065	0.0110798122065728
mrentabilidad_annual	0.00123717092329966	0.00538480450219723	0.00606304493628437
mcomisiones_mantenimiento	0.00122361127454337	0.0025964060538182	0.00233400402414487
vm_msaldopesos	0.00118528781452072	0.000748550500167464	0.000938967136150235
