Feature	Gain	Cover	Frequency
azar_under	0.715058289366854	0.0685718619355057	0.0258407079646018
ctrx_quarter	0.0644573827017638	0.0278081710777745	0.0173451327433628
ctrx_quarter_normalizado	0.0430954108873073	0.041264671890173	0.0223008849557522
ctrx_quarter_normalizado_lag1	0.0183470903420517	0.00765402465346678	0.0063716814159292
mpasivos_margen	0.0151928949731147	0.0147372806990275	0.0261946902654867
cpayroll_trx	0.0103144261692329	0.0328610375766695	0.0120353982300885
mpayroll	0.00869676268534259	0.0206868793074253	0.0102654867256637
mtarjeta_visa_consumo	0.00697456376981318	0.00731426322723084	0.00884955752212389
mpayroll_sobre_edad	0.006119702253147	0.0164595276780882	0.00920353982300885
mcomisiones_mantenimiento_tend6	0.00579360974013515	0.0276721202160309	0.016283185840708
mprestamos_personales	0.00489275243561711	0.0206018973908523	0.0106194690265487
cpayroll_trx_avg6	0.00465364622278281	0.00653632626166976	0.00566371681415929
mcuentas_saldo	0.00465190900433706	0.017021485563032	0.0141592920353982
mcaja_ahorro_lag1	0.00390496363117084	0.00335505680805062	0.00778761061946903
mcomisiones_avg6	0.00375982471024242	0.00809476028965268	0.00884955752212389
mcaja_ahorro	0.0035758961615449	0.00737736795244816	0.00884955752212389
mprestamos_personales_lag1	0.0032140826098067	0.0042484641164356	0.00424778761061947
mrentabilidad_annual_avg6	0.00240422490674613	0.00968531189643431	0.0152212389380531
cprestamos_personales	0.00202895980222701	0.00610047808312714	0.00353982300884956
ccomisiones_mantenimiento_tend6	0.00202426470697238	0.023478083093895	0.00991150442477876
cpayroll_trx_lag1	0.00149616348894609	0.00326997514744412	0.00141592920353982
ctrx_quarter_normalizado_avg6	0.0014179080019127	0.00688483191484573	0.00530973451327434
mcomisiones_otras_avg6	0.00141296744576083	0.00817216165967688	0.0113274336283186
mpasivos_margen_avg6	0.00125508621541598	0.00487631955953567	0.0102654867256637
cdescubierto_preacordado	0.0011955075049359	0.00580560147198255	0.00389380530973451
mcomisiones_mantenimiento	0.00113537903759641	0.00167736216396942	0.0031858407079646
vm_status01_avg6	0.00106197277031201	0.00326355828128662	0.00247787610619469
cproductos_tend6	0.00100919788206072	0.00413911140766859	0.00495575221238938
mpayroll_lag1	0.000999284580928725	0.00249104074154768	0.00176991150442478
vm_msaldopesos	0.000961203585839577	0.000381687168332386	0.00106194690265487
vmr_msaldopesos	0.00093399236347076	0.000638893782811423	0.00212389380530973
ccomisiones_otras_avg6	0.000848509783119073	0.0157271072398309	0.00778761061946903
mpasivos_margen_lag1	0.000842551510837098	0.00115151161916584	0.00530973451327434
cdescubierto_preacordado_avg6	0.000839121297224928	0.00421225703226191	0.00283185840707965
mrentabilidad_annual	0.000834565563599802	0.00225557832637957	0.00460176991150442
mactivos_margen_avg6	0.000817634461965549	0.00516501204060101	0.00566371681415929
mcaja_ahorro_avg6	0.00079777593376866	0.00303737206123738	0.00849557522123894
mcomisiones_mantenimiento_avg6	0.000780732229420869	0.0102184105076749	0.00814159292035398
ccomisiones_mantenimiento_delta1	0.000753257276951117	0.000882801192818948	0.00141592920353982
mcuenta_debitos_automaticos	0.000732851537984942	0.00879655930961436	0.00460176991150442
mcuentas_saldo_tend6	0.000713984348337891	0.0012399513289014	0.00353982300884956
