fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221109 163638	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	535	1	1	1	0.1	50	0.5	FALSE	936659	0.221094030225358	0.311726012500003	0.597431161769055	4.49908482082537	0.0194586412967866	14728	17744000	1
20221109 170348	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2807	1	1	1	0.1	50	0.5	FALSE	936659	0.00750242972506385	0.803209201904247	0.58399078201619	6.07875295278791	0.0162833378322717	16413	15654000	2
20221109 170929	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	208	1	1	1	0.1	50	0.5	FALSE	936659	0.241757069129235	0.42344603385427	0.467275994996453	6.79320481137256	0.0119339204028546	15373	15814000	3
20221109 171627	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	619	1	1	1	0.1	50	0.5	FALSE	936659	0.0375393808685476	0.686297685906175	0.310481301447726	7.6430632648262	0.0185932836049919	14224	17392000	4
20221109 172206	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1437	1	1	1	0.1	50	0.5	FALSE	936659	0.186112660788349	0.626995591362356	0.420717837100528	1.76768391451333	0.0216358220700761	14084	12392000	5
20221109 173145	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	509	1	1	1	0.1	50	0.5	FALSE	936659	0.20243093710953	0.550600160876638	0.060663354647113	8.73124954373634	0.0140084418598998	13895	17490000	6
20221109 173501	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	272	1	1	1	0.1	50	0.5	FALSE	936659	0.255548092651443	0.750733381140162	0.670174004391447	4.36147957973299	0.0203763246304898	14616	16768000	7
20221109 174311	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	825	1	1	1	0.1	50	0.5	FALSE	936659	0.065083308372632	0.650647096996545	0.829983223582531	5.20990262374107	0.019434368652338	14567	17586000	8
20221109 175625	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	477	1	1	1	0.1	50	0.5	FALSE	936659	0.134735779690163	0.594694712132332	0.96379179573778	10.0015344221465	2.71858766927416e-06	12954	17612000	9
20221109 180104	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	54	1	1	1	0.1	50	0.5	FALSE	936659	0.111829435638283	0.452527895793901	0.382166769955074	9.46776664689241	0.0212152089339386	14225	16910000	10
20221109 180508	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	38	1	1	1	0.1	50	0.5	FALSE	936659	0.290004971026792	0.842935970265535	0.242485428359214	11.7128169398929	0.0015296094211438	15611	11338000	11
20221109 182550	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1778	1	1	1	0.1	50	0.5	FALSE	936659	0.123837301405292	0.381380422093207	0.915879432888323	1.05662957746245	0.0318190487618239	16052	10536000	12
20221109 183520	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2590	1	1	1	0.1	50	0.5	FALSE	936659	0.0528458477877575	0.726518894048058	0.222848182068992	3.48458127967024	0.0169491490379162	17045	11990000	13
20221109 183925	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	22	1	1	1	0.1	50	0.5	FALSE	936659	0.26607944903757	0.51116175930365	0.751349365062924	8.25058114326384	0.0205203003865121	14396	15928000	14
20221109 190515	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2366	1	1	1	0.1	50	0.5	FALSE	936659	0.162989416489436	0.356914769482682	0.113384023075196	3.04804474159027	0.0185401790344164	16054	12852000	15
20221109 192010	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	576	1	1	1	0.1	50	0.5	FALSE	936659	0.0910597613512073	0.899382372148102	0.776787919596245	11.1486550457776	7.38927654505418e-07	14352	16736000	16
20221109 192701	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	305	1	1	1	0.1	50	0.5	FALSE	936659	0.173149140792853	0.394248031179293	0.962139785882025	5.15976436995603	0.0169446917380176	15656	15888000	17
20221109 194923	1223	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1862	1	1	1	0.1	50	0.5	FALSE	936659	0.0523324390433547	0.300255920282062	0.683441607675472	4.88369835134156	0.0184208715564683	14782	17156000	18
