fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221118 154001	1223	1178801	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	696	1	1	1	0.1	50	0.5	FALSE	668111	0.050550201127844	0.500805320567451	0.552411348513124	6.31493773254624	0.0214775539123331	16653	45334000	1
20221118 155152	1223	1178801	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	289	1	1	1	0.1	50	0.5	FALSE	668111	0.103203919765801	0.445205552424886	0.804363148905395	7.89123357993958	0.0105352468435279	17797	44326000	2
20221118 161352	1223	1178801	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	895	1	1	1	0.1	50	0.5	FALSE	668111	0.144977864167085	0.5643636380526	0.478317027245066	3.80125364524429	0.0251378390247865	16510	43780000	3
20221118 162138	1223	1178801	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	286	1	1	1	0.1	50	0.5	FALSE	668111	0.280412406968608	0.688768305658596	0.416611543915496	8.58419697098725	0.00139206773208925	17841	39758000	4
20221118 162704	1223	1178801	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	261	1	1	1	0.1	50	0.5	FALSE	668111	0.195409776628294	0.666028885610285	0.960670339979697	5.53857125999639	0.0178217295862451	18092	45176000	5
20221118 162957	1223	1178801	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	54	1	1	1	0.1	50	0.5	FALSE	668111	0.238720734534072	0.895065467746463	0.30629701554426	7.26732250429632	0.0206966073446103	16461	45558000	6
20221118 163639	1223	1178801	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	137	1	1	1	0.1	50	0.5	FALSE	668111	0.186355876407688	0.326505292067304	0.348782922517421	9.96369771864556	0.00318789769582498	19557	40166000	7
20221118 164537	1223	1178801	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	206	1	1	1	0.1	50	0.5	FALSE	668111	0.127274948178747	0.739011183383991	0.667204253784439	9.60913142752543	0.00170147930922511	17234	44892000	8
20221118 165957	1223	1178801	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	519	1	1	1	0.1	50	0.5	FALSE	668111	0.084807538537134	0.450505772785982	0.707457116816659	4.69880815710349	0.0231569440217437	16725	45750000	9
20221118 171023	1223	1178801	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1659	1	1	1	0.1	50	0.5	FALSE	668111	0.283052286353632	0.820007554706535	0.636433648366801	2.45637016677938	0.0208456435368421	18137	41726000	10
20221118 173132	1223	1178801	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4393	1	1	1	0.1	50	0.5	FALSE	668111	0.0159960398935073	0.853919125325047	0.120151236961829	1.24329498531006	0.0202480690208463	18482	37436000	11
20221118 174253	1223	1178801	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	324	1	1	1	0.1	50	0.5	FALSE	668111	0.0330965868972999	0.361374878202332	0.103458630508248	10.7746385400533	0.0155766874642304	17890	45420000	12
20221118 181304	1223	1178801	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1514	1	1	1	0.1	50	0.5	FALSE	668111	0.157000530735968	0.538027584992233	0.169534627646499	3.22645118442597	0.0209135767802675	17972	41576000	13
20221118 181756	1223	1178801	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	32	1	1	1	0.1	50	0.5	FALSE	668111	0.255232911895218	0.395153843803564	0.876586810238223	6.92074412984948	0.0190100110236085	18030	42340000	14
20221118 183803	1223	1178801	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3180	1	1	1	0.1	50	0.5	FALSE	668111	0.0718720244010183	0.77763910247013	0.920473999364185	1.97116627618379	0.0223694677814871	17655	42370000	15
20221118 184723	1223	1178801	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	255	1	1	1	0.1	50	0.5	FALSE	668111	0.21572175542824	0.619952837051824	0.246091240563692	11.7604309431481	2.27367007490678e-06	16977	39886000	16
20221118 185117	1223	1178801	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	62	1	1	1	0.1	50	0.5	FALSE	668111	0.196452734296102	0.899505672823388	0.782516465242256	6.82989239044967	0.0133875833545208	21781	41558000	17
20221118 190245	1223	1178801	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	409	1	1	1	0.1	50	0.5	FALSE	668111	0.0609945914804061	0.41798510968292	0.544874855751418	3.74986922362035	0.0226087958381392	16926	42948000	18
20221118 193141	1223	1178801	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	653	1	1	1	0.1	50	0.5	FALSE	668111	0.0224994585026393	0.803328942946857	0.471179724906199	11.7897788590551	0.000446535969333838	17237	44886000	19
20221118 193835	1223	1178801	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	122	1	1	1	0.1	50	0.5	FALSE	668111	0.185547254170487	0.461624782659346	0.341996654241916	7.57805662734015	0.0208869154768998	16146	44988000	20
20221118 194449	1223	1178801	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	254	1	1	1	0.1	50	0.5	FALSE	668111	0.140516938761836	0.615756707408745	0.845957521901792	6.00536117992341	0.0203231151764524	16948	45064000	21
20221118 194751	1223	1178801	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	82	1	1	1	0.1	50	0.5	FALSE	668111	0.129974473376094	0.801352512651612	0.255425200411654	6.99415177405118	0.0195173508037684	17784	44592000	22
20221118 195744	1223	1178801	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	200	1	1	1	0.1	50	0.5	FALSE	668111	0.133537495414914	0.75916487436695	0.989944546638301	10.024287475965	0.000648774676267609	16430	43300000	23
