fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221028 225054	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	300	1	1	1	0.1	50	0.5	FALSE	102191	0.0378000752218941	0.50360918896331	0.839946327151119	6.20667372045864	0.0149845707828745	17268	15304000	1
20221028 225126	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	125	1	1	1	0.1	50	0.5	FALSE	102191	0.190318798567023	0.758738957633614	0.56647458291045	8.90726583228388	7.51830801747475e-06	19145	10590000	2
20221028 225149	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	25	1	1	1	0.1	50	0.5	FALSE	102191	0.230485825215146	0.483681584268925	0.705598453349376	5.28426918717742	0.0321107288065031	17143	14354000	3
20221028 225225	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	112	1	1	1	0.1	50	0.5	FALSE	102191	0.136686961002561	0.563559696587618	0.235416283151426	9.57659572505509	0.000396613137796518	16315	14970000	4
20221028 225426	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	219	1	1	1	0.1	50	0.5	FALSE	102191	0.0525198723653739	0.438485449517611	0.383825656799308	9.96764635397994	0.00159978138529238	17448	15584000	5
20221028 225510	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	27	1	1	1	0.1	50	0.5	FALSE	102191	0.169893836714764	0.34145060821611	0.321496251836652	7.75411216869543	0.0407715054697465	19022	13636000	6
20221028 225543	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	385	1	1	1	0.1	50	0.5	FALSE	102191	0.220354836559563	0.297360490742722	0.429652409945993	1.32159528994816	0.00691180634513336	15888	11344000	7
20221028 225801	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	124	1	1	1	0.1	50	0.5	FALSE	102191	0.199481353941374	0.245776053145528	0.655903823926928	11.4824899006635	4.94597553542935e-05	15723	16634000	8
20221028 225821	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	17	1	1	1	0.1	50	0.5	FALSE	102191	0.297360574425547	0.663204494278762	0.808532157511945	6.84183005351224	0.0238424127150729	18911	11778000	9
20221028 225905	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	989	1	1	1	0.1	50	0.5	FALSE	102191	0.0673474786104634	0.764819620159688	0.167618370280979	3.30798955644423	0.0245219386534331	16122	14476000	10
20221028 230012	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	555	1	1	1	0.1	50	0.5	FALSE	102191	0.0201097442720493	0.421320473396918	0.508276368953375	4.92883832052757	0.0224556067339271	17693	15334000	11
20221028 230030	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	62	1	1	1	0.1	50	0.5	FALSE	102191	0.108449437575036	0.72242801009561	0.993402462603262	4.43542716979573	0.0230606294276683	18879	12322000	12
20221028 230049	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	14	1	1	1	0.1	50	0.5	FALSE	102191	0.273777137860452	0.621203525998863	0.180218526808312	8.45289284631144	0.0344893470128477	15917	13926000	13
20221028 230114	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	144	1	1	1	0.1	50	0.5	FALSE	102191	0.261209245676582	0.359269010773278	0.885558432508697	1.75255403594929	0.0274710852792062	16360	10880000	14
20221028 230231	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	944	1	1	1	0.1	50	0.5	FALSE	102191	0.140441680774529	0.214216759952251	0.107090920542396	2.72611531849543	0.0179994403827221	19768	10144000	15
20221028 230343	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	203	1	1	1	0.1	50	0.5	FALSE	102191	0.0872797467942291	0.577844302754966	0.602602660435514	10.9187440584647	2.53200048713078e-05	16362	15596000	16
20221028 231018	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1148	1	1	1	0.1	50	0.5	FALSE	102191	0.0176535205425162	0.284115546267174	0.890541898187515	11.9998396493421	5.251405860972e-05	15843	16314000	17
20221028 231058	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	93	1	1	1	0.1	50	0.5	FALSE	102191	0.26365370980868	0.402069432286333	0.700274058107958	11.9996046753609	1.4227909485633e-05	15442	15836000	18
20221028 231219	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	570	1	1	1	0.1	50	0.5	FALSE	102191	0.102176709075915	0.200012379889607	0.612120458400476	11.9987308191191	7.27025934359936e-06	16245	15990000	19
20221028 231253	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	118	1	1	1	0.1	50	0.5	FALSE	102191	0.286726511243085	0.242957937184177	0.999673266720432	11.8309616682095	1.3031132759735e-05	15995	15210000	20
20221028 231956	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	365	1	1	1	0.1	50	0.5	FALSE	102191	0.0745137844748766	0.301882700401703	0.665496634266776	11.6902286838768	3.37601584734551e-05	13927	18386000	21
20221028 232834	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1815	1	1	1	0.1	50	0.5	FALSE	102191	0.0110108072354953	0.328957036875211	0.644059411181655	11.8551906625129	2.62376683534027e-05	17962	14876000	22
20221028 232951	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	326	1	1	1	0.1	50	0.5	FALSE	102191	0.105402362673762	0.291164647021942	0.906812382797989	11.7293074727404	9.8925167357574e-06	16490	15900000	23
20221028 233136	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	352	1	1	1	0.1	50	0.5	FALSE	102191	0.0632214286357394	0.252466093363362	0.927162400790591	11.9812781206265	6.29500767843026e-05	15168	17664000	24
20221028 233258	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	316	1	1	1	0.1	50	0.5	FALSE	102191	0.0717347392583774	0.291785051870015	0.381577645104232	11.9957280700111	3.40445659800944e-05	16188	16104000	25
20221028 233427	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	438	1	1	1	0.1	50	0.5	FALSE	102191	0.0675349593488088	0.293105954609589	0.737932655197611	10.6628731091148	1.72202393889101e-05	17080	15200000	26
20221028 233541	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	219	1	1	1	0.1	50	0.5	FALSE	102191	0.104565274762976	0.358054475607222	0.670337231905695	11.9616752271707	2.13870237678786e-05	15307	16906000	27
20221028 233652	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	553	1	1	1	0.1	50	0.5	FALSE	102191	0.0725296122612362	0.20028823170456	0.659362847339695	8.64488704840839	3.89661743055278e-05	17048	15024000	28
20221028 233828	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	173	1	1	1	0.1	50	0.5	FALSE	102191	0.0698166686398715	0.424261028201795	0.735763692380403	11.7691322768267	0.000429157377873313	15020	16920000	29
20221028 234009	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	481	1	1	1	0.1	50	0.5	FALSE	102191	0.0849030959024378	0.352075966231083	0.579755912847351	11.6257447689294	5.25921398763039e-06	16037	16246000	30
20221029 001435	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1203	1	1	1	0.1	50	0.5	FALSE	102191	0.014674081711793	0.305269762196948	0.663858922329987	11.9972781109555	0.000132169620752415	13871	18498000	31
20221029 001531	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	129	1	1	1	0.1	50	0.5	FALSE	102191	0.183549918633832	0.305615363726896	0.752454345282719	11.9886530778778	3.18533358979133e-05	15812	17016000	32
20221029 001808	979	53781	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	602	1	1	1	0.1	50	0.5	FALSE	102191	0.0397982490254232	0.302846052334297	0.659118788080621	11.950488203373	2.75741337304299e-05	15501	17318000	33
